"","RESP_ID","MuslimMicro1SI","MuslimMicro2SI","MuslimMicro3SI","GayMicro1SI","GayMicro2SI","GayMicro3SI"
"1","A131452","","","","","",""
"2","A674193","","","","","",""
"3","A682437","","","I","","",""
"4","AA13BLA","","","","I","I","I"
"5","AC20PIN","I","I","I","","",""
"6","AC24BLU","","","","I","I",""
"7","AC7BLUE","","","","","",""
"8","ACO02BL","","","","I","I",""
"9","AD07BLU","","","","SI","I","IS"
"10","AF07GRE","","","","","",""
"11","AG31GRE","I","S","S","","",""
"12","AH12PIN","I","I","I","","",""
"13","AH18PUR","","","","I","I","I"
"14","AI6PURP","I","I","I","","",""
"15","AJ17GRE","","","","","",""
"16","AL6BLUE","","","","","I","I"
"17","ALW03BL","","","","","",""
"18","AM23ORA","","","","","",""
"19","AMS29MA","","","","","",""
"20","AO9PURP","","","","I","I","I"
"21","AP18PUR","I","I","S","","",""
"22","AP28GRE","","","","","",""
"23","AR17PUR","","","","","",""
"24","AS15PUR","","","","I","SI","S"
"25","AT26YEL","","","","I","I","I"
"26","AY26BLA","","","","","",""
"27","AY29GRE","","","","","",""
"28","AZ3TEAL","I","I","I","","",""
"29","BG5GREE","","","","I","I","SI"
"30","BK05GRE","I","I","","","",""
"31","BT24GRE","","","","","",""
"32","C12345","","","","","",""
"33","CB02GRE","","","","","",""
"34","CB29RED","","","","","",""
"35","CC11PUR","","","","","S",""
"36","CF23BLA","","","","","",""
"37","CG0518P","","","","I","",""
"38","CG10BLU","I","I","I","","",""
"39","CG30YEL","","","","SI","I","SI"
"40","CH15BLA","","","","","",""
"41","CH22BLU","","","","","",""
"42","CHT7BLU","","","","I","",""
"43","CI06BLU","SI","I","IS","","",""
"44","CI15BUR","","","","","",""
"45","CK30PUR","","","","I","I","I"
"46","CMR","","","","I","I","I"
"47","CO14YEL","SI","","","","",""
"48","CS08PUR","","","","I","I","I"
"49","CS22RED","","","","","",""
"50","CSALES1","","","","","",""
"51","CT06BLU","","","","I","","I"
"52","CV27GRE","I","I","I","","",""
"53","D1523","","","","","",""
"54","DA23BLU","","","","","I","I"
"55","DJ23YEL","","","","I","I","I"
"56","DK22BLU","","","","","",""
"57","DK27GRE","","","","I","I","I"
"58","DM12PUR","","","","I","I","I"
"59","DP21BLU","","","","SI","SI","S"
"60","DR23BLU","","","","I","SI","X"
"61","DR24RED","","","","I","I","S"
"62","DV07PIN","","","","","",""
"63","EA51199","","","","","",""
"64","EB7YELL","","","","SI","I","I"
"65","ED22RED","","","","","",""
"66","EE28BLU","","","","I","SI","I"
"67","EH17BLU","","","","","","S"
"68","EH27BLU","","","","","",""
"69","EL31PUR","I","I","","","",""
"70","EM28RED","I","I","I","","",""
"71","ES20GRE","","","","","",""
"72","ES26RED","","","","","",""
"73","ET27PIN","","","","S","","S"
"74","EW13YEL","I","SI","S","","",""
"75","F1527","","I","","","",""
"76","FM15RED","","","","","",""
"77","G1234","","","","","",""
"78","GJ13BLU","I","I","I","","",""
"79","GL15PUR","SI","I","I","","",""
"80","GM23ORA","I","I","I","","",""
"81","HB1BLUE","I","","S","","",""
"82","HH11BLU","","","","","",""
"83","HK27BLU","","","","","",""
"84","HT26BLU","","","","I","I","S"
